"","Sample","Target","1","2","3","4","5","6"
"244","S1_26.2","lyta",37.0017576358758,NA,NA,NA,NA,NA
"245","S1_26.2","piab",45,NA,NA,NA,NA,NA
"246","S1_26.3","lyta",45,38.4276408411643,NA,NA,NA,NA
"247","S1_26.3","piab",45,NA,NA,NA,NA,NA
"248","S1_26.4","lyta",44.0562714644431,NA,NA,NA,NA,NA
"249","S1_26.4","piab",45,NA,NA,NA,NA,NA
"250","S1_26.5","lyta",45,NA,NA,NA,NA,NA
"251","S1_26.5","piab",45,NA,NA,NA,NA,NA
"252","S1_26.6","lyta",45,NA,NA,NA,NA,NA
"253","S1_26.6","piab",45,45,NA,NA,NA,NA
"254","S1_27.1","lyta",45,NA,NA,NA,NA,NA
"255","S1_27.1","piab",45,NA,NA,NA,NA,NA
"256","S1_27.2","lyta",45,NA,NA,NA,NA,NA
"257","S1_27.2","piab",45,NA,NA,NA,NA,NA
"258","S1_27.3","lyta",45,45,NA,NA,NA,NA
"259","S1_27.3","piab",45,NA,NA,NA,NA,NA
"260","S1_27.4","lyta",45,NA,NA,NA,NA,NA
"261","S1_27.4","piab",45,NA,NA,NA,NA,NA
"262","S1_27.5","lyta",45,NA,NA,NA,NA,NA
"263","S1_27.5","piab",45,NA,NA,NA,NA,NA
"264","S1_27.6","lyta",45,NA,NA,NA,NA,NA
"265","S1_27.6","piab",45,NA,NA,NA,NA,NA
"266","S1_28.1","lyta",22.1766692607417,NA,NA,NA,NA,NA
"267","S1_28.1","piab",45,NA,NA,NA,NA,NA
"268","S1_28.2","lyta",26.3403484881413,NA,NA,NA,NA,NA
"269","S1_28.2","piab",45,45,NA,NA,NA,NA
"270","S1_28.3","lyta",25.1002164801498,22.08039861251,NA,NA,NA,NA
"271","S1_28.3","piab",45,45,NA,NA,NA,NA
"272","S1_28.4","lyta",25.8095156880442,NA,NA,NA,NA,NA
"273","S1_28.4","piab",45,45,NA,NA,NA,NA
"274","S1_28.5","lyta",24.1616581389243,NA,NA,NA,NA,NA
"275","S1_28.5","piab",45,45,NA,NA,NA,NA
"276","S1_28.6","lyta",25.3079150524217,NA,NA,NA,NA,NA
"277","S1_28.6","piab",45,45,NA,NA,NA,NA
"278","S1_29.1","lyta",24.2455652392519,NA,NA,NA,NA,NA
"279","S1_29.1","piab",45,NA,NA,NA,NA,NA
"280","S1_29.2","lyta",21.6027603181027,NA,NA,NA,NA,NA
"281","S1_29.2","piab",45,45,NA,NA,NA,NA
"282","S1_29.3","lyta",31.9848170944523,23.4373639473608,NA,NA,NA,NA
"283","S1_29.3","piab",45,45,NA,NA,NA,NA
"284","S1_29.4","lyta",26.0112651807349,NA,NA,NA,NA,NA
"285","S1_29.4","piab",38.47962098,45,39.5818117720736,NA,NA,NA
"286","S1_29.5","lyta",25.9547643608801,NA,NA,NA,NA,NA
"287","S1_29.5","piab",45,45,NA,NA,NA,NA
"288","S1_29.6","lyta",28.7255329411526,NA,NA,NA,NA,NA
"289","S1_29.6","piab",45,NA,NA,NA,NA,NA
"290","S1_3.1","lyta",28.3132588842782,NA,NA,NA,NA,NA
"291","S1_3.1","piab",27.5649047729576,NA,NA,NA,NA,NA
"292","S1_3.2","lyta",25.0650798275618,NA,NA,NA,NA,NA
"293","S1_3.2","piab",26.0962915435147,NA,NA,NA,NA,NA
"294","S1_3.3","lyta",18.1916163519806,21.2552040987865,NA,NA,NA,NA
"295","S1_3.3","piab",20.0712638105098,NA,NA,NA,NA,NA
"296","S1_3.4","lyta",45,33.234796912035,NA,NA,NA,NA
"297","S1_3.4","piab",33.2800355472053,31.2258826166321,NA,NA,NA,NA
"298","S1_3.5","lyta",23.0670993799938,NA,NA,NA,NA,NA
"299","S1_3.5","piab",21.9782357615276,NA,NA,NA,NA,NA
"300","S1_3.6","lyta",27.5833702183879,NA,NA,NA,NA,NA
"301","S1_3.6","piab",26.7187939421651,NA,NA,NA,NA,NA
"302","S1_30.1","lyta",45,NA,NA,NA,NA,NA
"303","S1_30.1","piab",45,45,NA,NA,NA,NA
"304","S1_30.2","lyta",45,NA,NA,NA,NA,NA
"305","S1_30.2","piab",45,45,NA,NA,NA,NA
"306","S1_30.3","lyta",45,45,NA,NA,NA,NA
"307","S1_30.3","piab",45,NA,NA,NA,NA,NA
"308","S1_30.4","lyta",45,NA,NA,NA,NA,NA
"309","S1_30.4","piab",45,45,NA,NA,NA,NA
"310","S1_30.5","lyta",45,NA,NA,NA,NA,NA
"311","S1_30.5","piab",45,45,NA,NA,NA,NA
"312","S1_30.6","lyta",45,NA,NA,NA,NA,NA
"313","S1_30.6","piab",45,45,NA,NA,NA,NA
"314","S1_31.1","lyta",45,NA,NA,NA,NA,NA
"315","S1_31.1","piab",45,NA,NA,NA,NA,NA
"316","S1_31.2","lyta",45,NA,NA,NA,NA,NA
"317","S1_31.2","piab",45,45,NA,NA,NA,NA
"318","S1_31.3","lyta",45,45,NA,NA,NA,NA
"319","S1_31.3","piab",45,45,NA,NA,NA,NA
