"","ID","Target","1","2","3","4","5","6"
"89","S1_51","lyta",45,36.80744468,37.1031630316145,39.6782346063049,45,45
"90","S1_51","piab",45,45,45,45,45,45
"91","S1_52","lyta",45,45,45,45,45,45
"92","S1_52","piab",45,45,45,45,45,45
"93","S1_53","lyta",45,45,45,45,45,45
"94","S1_53","piab",45,45,45,45,45,45
"95","S1_54","lyta",45,45,45,45,45,45
"96","S1_54","piab",45,45,45,45,45,45
"97","S1_55","lyta",45,45,45,45,37.4178075997033,45
"98","S1_55","piab",45,45,45,45,45,45
"99","S1_56","lyta",45,45,45,45,38.30950123,45
"100","S1_56","piab",45,45,45,45,45,45
"101","S1_57","lyta",37.00051391,45,38.7474558815533,45,45,45
"102","S1_57","piab",45,45,45,45,45,45
