,Sample,plate,lyta,piab,pos,,,,,,,,
178,33.2,4,NA,29.33493863,NA,,,,,,,,
179,33.3,7,NA,27.0918361,NA,,,,,,,,
180,33.5,10,45,45,FALSE,,,,,,,,
181,33.6,12,30.24847439,29.13200229,TRUE,,,,,,,,
182,34.1,1,22.14694212,45,FALSE,,,,,,,,
183,34.2,4,NA,38.44217033,NA,,,,,,,,
184,34.3,7,NA,45,FALSE,,,,,,,,
185,34.5,10,25.34133035,45,FALSE,,,,,,,,
186,34.6,12,23.10806724,45,FALSE,,,,,,,,
187,35.1,1,19.9550024,45,FALSE,,,,,,,,
188,35.2,4,NA,45,FALSE,,,,,,,,
189,35.3,7,NA,45,FALSE,,,,,,,,
190,35.5,10,23.2708077,45,FALSE,,,,,,,,
191,35.6,12,24.17604298,45,FALSE,,,,,,,,
192,36.1,3,31.31449443,45,FALSE,,,,,,,,
193,36.2,5,NA,45,FALSE,,,,,,,,
194,36.3,7,NA,45,FALSE,,,,,,,,
195,36.5,10,26.39083568,38.25492332,TRUE,,,,,,,,
196,36.6,12,22.11384411,45,FALSE,,,,,,,,
197,37.1,1,45,42.95381614,FALSE,,,,,,,,
198,37.1,4,NA,45,FALSE,,,,,,,,
199,37.2,5,NA,45,FALSE,,,,,,,,
200,37.3,7,NA,45,FALSE,,,,,,,,
201,37.5,10,45,45,FALSE,,,,,,,,
202,37.6,12,45,45,FALSE,,,,,,,,
203,38.1,1,45,45,FALSE,,,,,,,,
204,39.1,1,40.41757778,45,FALSE,,,,,,,,
205,40.1,1,45,45,FALSE,,,,,,,,
206,40.2,5,NA,39.97248922,NA,,,,,,,,
207,40.3,7,NA,45,FALSE,,,,,,,,
208,40.4,8,45,NA,FALSE,,,,,,,,
209,40.5,10,45,45,FALSE,,,,,,,,
210,40.6,12,45,45,FALSE,,,,,,,,
211,41.1,3,16.49221242,15.81921792,TRUE,,,,,,,,
212,41.2,5,NA,22.09316028,NA,,,,,,,,
213,41.3,7,NA,27.56902005,NA,,,,,,,,
214,41.5,10,23.02305951,22.61378358,TRUE,,,,,,,,
215,41.6,12,16.62789868,16.20023738,TRUE,,,,,,,,
216,42.1,1,45,35.9988162,FALSE,,,,,,,,
217,42.1,4,NA,45,FALSE,,,,,,,,
218,42.2,5,NA,45,FALSE,,,,,,,,
219,42.3,7,NA,45,FALSE,,,,,,,,
220,42.5,10,45,45,FALSE,,,,,,,,
221,42.6,12,45,45,FALSE,,,,,,,,
222,43.1,1,45,45,FALSE,,,,,,,,
223,43.2,5,NA,45,FALSE,,,,,,,,
224,43.3,7,NA,38.30443146,NA,,,,,,,,
225,43.5,10,45,45,FALSE,,,,,,,,
226,43.6,12,45,37.1717487,FALSE,,,,,,,,
227,44.1,1,45,37.31414753,FALSE,,,,,,,,
228,44.2,5,NA,45,FALSE,,,,,,,,
229,44.3,7,NA,45,FALSE,,,,,,,,
230,44.5,10,45,45,FALSE,,,,,,,,
231,44.6,12,45,45,FALSE,,,,,,,,
232,45.1,1,45,37.22973315,FALSE,,,,,,,,
233,45.1,4,NA,45,FALSE,,,,,,,,
234,45.2,5,NA,45,FALSE,,,,,,,,
235,45.3,7,NA,45,FALSE,,,,,,,,
236,45.5,10,45,45,FALSE,,,,,,,,
237,45.6,12,45,45,FALSE,,,,,,,,
238,46.1,1,38.41988692,45,FALSE,,,,,,,,
239,46.3,7,NA,45,FALSE,,,,,,,,
240,46.5,10,38.8447016,45,FALSE,,,,,,,,
241,46.6,12,45,45,FALSE,,,,,,,,
242,46.9,5,NA,45,FALSE,,,,,,,,
243,47.1,1,45,40.46976114,FALSE,,,,,,,,
244,47.2,5,NA,45,FALSE,,,,,,,,
245,47.3,7,NA,45,FALSE,,,,,,,,
246,47.5,10,45,45,FALSE,,,,,,,,
247,47.6,12,45,45,FALSE,,,,,,,,
248,50.1,1,37.68961862,45,FALSE,,,,,,,,
249,50.2,5,NA,45,FALSE,,,,,,,,
250,50.3,7,NA,45,FALSE,,,,,,,,
251,50.5,10,28.94580272,45,FALSE,,,,,,,,
252,50.6,12,27.18222846,45,FALSE,,,,,,,,
253,51.1,1,45,45,FALSE,,,,,,,,
254,51.2,5,NA,45,FALSE,,,,,,,,
255,51.3,7,NA,45,FALSE,,,,,,,,
256,51.5,10,45,45,FALSE,,,,,,,,
257,51.6,12,37.64218239,45,FALSE,,,,,,,,
258,52.1,2,45,45,FALSE,,,,,,,,
259,52.2,5,NA,45,FALSE,,,,,,,,
260,52.3,7,NA,45,FALSE,,,,,,,,
261,52.5,10,45,45,FALSE,,,,,,,,
262,52.6,12,45,45,FALSE,,,,,,,,
263,53.1,2,45,45,FALSE,,,,,,,,
264,53.2,5,NA,45,FALSE,,,,,,,,
265,53.3,7,NA,45,FALSE,,,,,,,,
266,53.5,10,45,45,FALSE,,,,,,,,
267,53.6,12,45,45,FALSE,,,,,,,,
268,54.1,2,45,45,FALSE,,,,,,,,
269,54.2,5,NA,45,FALSE,,,,,,,,
270,54.3,7,NA,45,FALSE,,,,,,,,
