"","Sample","variable","lyta","piab","pos"
"211","S1_40.4","Cq",45,45,FALSE
"212","S1_40.5","Cq",45,45,FALSE
"213","S1_40.6","Cq",45,45,FALSE
"214","S1_41.1","Cq",16.4922124163246,18.3480266785753,TRUE
"215","S1_41.2","Cq",20.38183456,22.0175412764691,TRUE
"216","S1_41.3","Cq",32.5124649734571,27.1090821477839,TRUE
"217","S1_41.4","Cq",20.2283445892635,20.6050391680596,TRUE
"218","S1_41.5","Cq",23.4085931558306,22.9196101564778,TRUE
"219","S1_41.6","Cq",19.1687704204476,17.821008263282,TRUE
"220","S1_42.1","Cq",45,37.9837250136937,FALSE
"221","S1_42.2","Cq",45,45,FALSE
"222","S1_42.3","Cq",45,45,FALSE
"223","S1_42.4","Cq",45,45,FALSE
"224","S1_42.5","Cq",45,45,FALSE
"225","S1_42.6","Cq",34.69906081,45,FALSE
"226","S1_43.1","Cq",45,45,FALSE
"227","S1_43.2","Cq",37.47612385,45,FALSE
"228","S1_43.3","Cq",37.8086424043969,38.4736710849707,TRUE
"229","S1_43.4","Cq",45,45,FALSE
"230","S1_43.5","Cq",45,45,FALSE
"231","S1_43.6","Cq",45,33.4056463216275,FALSE
"232","S1_44.1","Cq",36.7720203581652,36.6402431412608,TRUE
"233","S1_44.2","Cq",45,45,FALSE
"234","S1_44.3","Cq",45,45,FALSE
"235","S1_44.4","Cq",32.6849326582154,34.4967604896756,TRUE
"236","S1_44.5","Cq",45,45,FALSE
"237","S1_44.6","Cq",45,45,FALSE
"238","S1_45.1","Cq",45,37.2297331466863,FALSE
"239","S1_45.2","Cq",45,45,FALSE
"240","S1_45.3","Cq",38.5050730578286,45,FALSE
"241","S1_45.4","Cq",45,45,FALSE
"242","S1_45.5","Cq",45,45,FALSE
"243","S1_45.6","Cq",45,45,FALSE
"244","S1_46.1","Cq",38.4198869178005,45,FALSE
"245","S1_46.2","Cq",45,45,FALSE
"246","S1_46.3","Cq",45,45,FALSE
"247","S1_46.4","Cq",45,45,FALSE
"248","S1_46.5","Cq",39.4456423749819,45,FALSE
"249","S1_46.6","Cq",45,45,FALSE
"250","S1_47.1","Cq",45,45,FALSE
"251","S1_47.2","Cq",45,45,FALSE
"252","S1_47.3","Cq",36.9616698480213,45,FALSE
"253","S1_47.4","Cq",45,45,FALSE
"254","S1_47.5","Cq",45,45,FALSE
"255","S1_47.6","Cq",45,45,FALSE
"256","S1_49.4","Cq",45,9999,FALSE
"257","S1_5.1","Cq",45,45,FALSE
"258","S1_5.2","Cq",45,45,FALSE
"259","S1_5.3","Cq",45,45,FALSE
"260","S1_5.4","Cq",21.652628358987,45,FALSE
"261","S1_5.5","Cq",24.6903749685355,45,FALSE
"262","S1_5.6","Cq",28.7980333661879,45,FALSE
"263","S1_50.1","Cq",37.689618623943,45,FALSE
"264","S1_50.2","Cq",25.07631254,45,FALSE
"265","S1_50.3","Cq",29.1631913727106,45,FALSE
"266","S1_50.4","Cq",26.2492143423172,45,FALSE
"267","S1_50.5","Cq",29.4189050744338,45,FALSE
"268","S1_50.6","Cq",30.0314150789465,45,FALSE
"269","S1_51.1","Cq",45,45,FALSE
"270","S1_51.2","Cq",36.80744468,45,FALSE
"271","S1_51.3","Cq",37.1031630316145,45,FALSE
"272","S1_51.4","Cq",39.6782346063049,45,FALSE
"273","S1_51.5","Cq",45,45,FALSE
"274","S1_51.6","Cq",45,45,FALSE
"275","S1_52.1","Cq",45,45,FALSE
"276","S1_52.2","Cq",45,45,FALSE
"277","S1_52.3","Cq",45,45,FALSE
"278","S1_52.4","Cq",45,45,FALSE
"279","S1_52.5","Cq",45,45,FALSE
"280","S1_52.6","Cq",45,45,FALSE
"281","S1_53.1","Cq",45,45,FALSE
"282","S1_53.2","Cq",45,45,FALSE
"283","S1_53.3","Cq",45,45,FALSE
"284","S1_53.4","Cq",45,45,FALSE
"285","S1_53.5","Cq",45,45,FALSE
"286","S1_53.6","Cq",45,45,FALSE
"287","S1_54.1","Cq",45,45,FALSE
"288","S1_54.2","Cq",45,45,FALSE
"289","S1_54.3","Cq",45,45,FALSE
"290","S1_54.4","Cq",45,45,FALSE
"291","S1_54.5","Cq",45,45,FALSE
"292","S1_54.6","Cq",45,45,FALSE
"293","S1_55.1","Cq",45,45,FALSE
"294","S1_55.2","Cq",45,45,FALSE
"295","S1_55.3","Cq",45,45,FALSE
"296","S1_55.4","Cq",45,45,FALSE
