"","Sample","plate","variable","lyta","piab","pos"
"192",21.6,18,"Cq",45,45,FALSE
"193",22.1,1,"Cq",45,45,FALSE
"194",22.2,4,"Cq",9999,45,FALSE
"195",22.2,5,"Cq",45,9999,FALSE
"196",22.3,8,"Cq",45,9999,FALSE
"197",22.3,9,"Cq",9999,45,FALSE
"198",22.4,13,"Cq",9999,45,FALSE
"199",22.4,14,"Cq",45,9999,FALSE
"200",22.5,16,"Cq",45,45,FALSE
"201",22.6,18,"Cq",45,45,FALSE
"202",23.1,1,"Cq",45,45,FALSE
"203",23.2,4,"Cq",9999,45,FALSE
"204",23.2,5,"Cq",45,9999,FALSE
"205",23.3,8,"Cq",45,9999,FALSE
"206",23.3,9,"Cq",9999,45,FALSE
"207",23.4,13,"Cq",9999,40.6339816281402,FALSE
"208",23.4,14,"Cq",45,9999,FALSE
"209",23.4,22,"Cq",45,45,FALSE
"210",23.5,16,"Cq",45,45,FALSE
"211",23.6,18,"Cq",45,45,FALSE
"212",24.1,1,"Cq",45,45,FALSE
"213",24.2,4,"Cq",9999,45,FALSE
"214",24.2,5,"Cq",45,9999,FALSE
"215",24.3,8,"Cq",45,9999,FALSE
"216",24.3,9,"Cq",9999,45,FALSE
"217",24.4,23,"Cq",45,45,FALSE
"218",24.4,24,"Cq",45,45,FALSE
"219",24.5,16,"Cq",45,45,FALSE
"220",24.6,18,"Cq",45,45,FALSE
"221",25.1,1,"Cq",45,45,FALSE
"222",25.2,4,"Cq",9999,45,FALSE
"223",25.2,5,"Cq",38.716500355621,9999,FALSE
"224",25.3,8,"Cq",45,9999,FALSE
"225",25.3,9,"Cq",9999,45,FALSE
"226",25.4,13,"Cq",9999,45,FALSE
"227",25.4,14,"Cq",45,9999,FALSE
"228",25.5,16,"Cq",45,45,FALSE
"229",25.6,18,"Cq",45,45,FALSE
"230",26.1,1,"Cq",45,45,FALSE
"231",26.2,4,"Cq",9999,45,FALSE
"232",26.2,5,"Cq",37.0017576358758,9999,FALSE
"233",26.3,8,"Cq",45,9999,FALSE
"234",26.3,9,"Cq",9999,45,FALSE
"235",26.4,13,"Cq",9999,45,FALSE
"236",26.4,14,"Cq",44.0562714644431,9999,FALSE
"237",26.5,16,"Cq",45,45,FALSE
"238",26.6,18,"Cq",45,45,FALSE
"239",27.1,1,"Cq",45,45,FALSE
"240",27.2,4,"Cq",9999,45,FALSE
"241",27.2,5,"Cq",45,9999,FALSE
"242",27.3,10,"Cq",9999,45,FALSE
"243",27.3,11,"Cq",45,9999,FALSE
"244",27.4,13,"Cq",9999,45,FALSE
