"","Sample","plate","lyta","piab","pos"
"522",66.6,19,45,45,FALSE
"523",67.1,2,45,45,FALSE
"524",67.2,6,NA,45,FALSE
"525",67.2,7,45,NA,FALSE
"526",67.3,10,NA,45,FALSE
"527",67.3,11,38.5670477499732,NA,NA
"528",67.3,12,45,NA,FALSE
"529",67.4,15,45,45,FALSE
"530",67.5,17,45,45,FALSE
"531",67.6,19,45,45,FALSE
"532",68.1,2,45,45,FALSE
"533",68.2,6,NA,45,FALSE
"534",68.2,7,45,NA,FALSE
"535",68.3,10,NA,45,FALSE
"536",68.3,11,45,NA,FALSE
"537",68.3,12,45,NA,FALSE
"538",68.4,15,45,45,FALSE
"539",68.5,17,45,45,FALSE
"540",68.6,19,45,38.8639298355437,FALSE
"541",69.1,2,45,45,FALSE
"542",69.2,6,NA,45,FALSE
"543",69.2,7,45,NA,FALSE
"544",69.3,10,NA,45,FALSE
"545",69.3,11,45,NA,FALSE
"546",69.3,12,45,NA,FALSE
"547",69.4,15,45,45,FALSE
"548",69.5,17,45,45,FALSE
"549",69.6,19,45,38.8073732516555,FALSE
"550",70.1,2,45,45,FALSE
"551",70.2,6,NA,45,FALSE
"552",70.2,7,45,NA,FALSE
"553",70.3,10,NA,45,FALSE
"554",70.3,11,45,NA,FALSE
"555",70.3,12,45,NA,FALSE
"556",70.4,15,45,45,FALSE
"557",70.5,17,45,45,FALSE
"558",70.6,19,45,45,FALSE
"559",71.1,2,45,45,FALSE
"560",71.2,6,NA,45,FALSE
"561",71.2,7,45,NA,FALSE
"562",71.3,10,NA,45,FALSE
"563",71.3,11,45,NA,FALSE
"564",71.3,12,36.5231087447518,NA,NA
"565",71.4,15,45,45,FALSE
"566",71.5,17,45,45,FALSE
"567",71.6,19,45,45,FALSE
"568",72.1,2,28.1815254398646,45,FALSE
"569",72.2,6,NA,45,FALSE
"570",72.2,7,27.98955705,NA,NA
"571",72.3,10,NA,45,FALSE
"572",72.3,11,27.2663887274767,NA,NA
"573",72.3,12,25.802467059568,NA,NA
"574",72.4,15,29.8241447923726,45,FALSE
"575",72.5,17,28.1785974440536,45,FALSE
"576",72.6,19,27.7519955558607,45,FALSE
"577",73.1,2,45,45,FALSE
"578",73.2,6,NA,45,FALSE
"579",73.2,7,45,NA,FALSE
"580",73.3,10,NA,45,FALSE
"581",73.3,11,30.5070637060291,NA,NA
"582",73.3,12,28.3215402443637,NA,NA
"583",73.4,15,45,45,FALSE
"584",73.5,17,45,45,FALSE
"585",73.6,19,45,45,FALSE
"586",74.2,6,NA,45,FALSE
"587",74.2,7,32.38303101,NA,NA
"588",74.3,13,37.0374604477967,NA,NA
